Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify that the columns name is there or not,RN-204,10260,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,07/Sep/21 10:05 AM,07/Sep/21 5:39 PM,09/Sep/21 5:08 AM,07/Sep/21 5:39 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001hb:,,RN Sprint 1,,,,,,,,Done
"As an admin, I want to fetch the data properly under respective column",RN-203,10259,Story,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,07/Sep/21 10:04 AM,07/Sep/21 5:40 PM,09/Sep/21 4:44 AM,07/Sep/21 5:40 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RN-1,,,,,0|i001h3:,,RN Sprint 1,,,,,,,,Done
Telephone field is accepting more than 13 digits and special characters,RN-202,10258,Bug,To Do,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,High,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,07/Sep/21 6:54 AM,08/Sep/21 5:59 PM,08/Sep/21 5:59 PM,,,0,"h1. Telephone field is accepting more than 13 digits and special characters

steps to reproduce:

# Go to affiliate 
# click on add new user
# verify the telephone number field

Expected Result:

Telephone field should accept number with 10 to 13 digits and + symbol

03213569852

Actual Result:

Telephone field is accepting more than 13 characters and special characters.

QWERFGH458

!image-20210907-065747.png|width=766,height=163!",,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,RN-21,RN-48,,RN-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/Sep/21 6:59 AM;ug:1426f709-0eb6-4ef6-9193-80072034154a;image-20210907-065747.png;https://corporateola1516.atlassian.net/secure/attachment/10009/image-20210907-065747.png,,,,,,{},,RN-1,,,,,0|i001gv:,,RN Sprint 1,,,,,,,,To Do
Account name is accepting special characters,RN-201,10257,Bug,To Do,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,07/Sep/21 6:32 AM,08/Sep/21 1:24 PM,09/Sep/21 5:08 AM,,,0,"h1. Account name is accepting special characters

Steps to reproduce

# Go to affiliates 
# Click on add new user
# Go to payment tab
# Verify the account name in the bank transfer option.

Expected Result:

Account name field should not accept  special characters . Can only accept alphanumeric characters.

Actual Result:

Account name field is accepting special characters.

!image-20210907-063521.png|width=539,height=104!",,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,RN-109,RN-205,,RN-205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/Sep/21 6:35 AM;ug:1426f709-0eb6-4ef6-9193-80072034154a;image-20210907-063521.png;https://corporateola1516.atlassian.net/secure/attachment/10008/image-20210907-063521.png,,,,,,{},,RN-1,,,,,0|i001gn:,,RN Sprint 1,,,,,,,,To Do
Cheque Payee Name is accepting Special characters,RN-200,10256,Bug,To Do,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,07/Sep/21 6:24 AM,08/Sep/21 1:24 PM,09/Sep/21 5:08 AM,,,0,"h1. Cheque Payee Name is accepting Special characters

Steps to reproduce

# Go to affiliates 
# click on add new user
# go to payment section
# verify the cheque payee field



Expected Result:

Ananya Ghosal

Actual Result

ASD$%123



!image-20210907-063013.png|width=529,height=227!",,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,RN-109,RN-206,,RN-206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/Sep/21 6:30 AM;ug:1426f709-0eb6-4ef6-9193-80072034154a;image-20210907-063013.png;https://corporateola1516.atlassian.net/secure/attachment/10007/image-20210907-063013.png,,,,,,{},,RN-1,,,,,0|i001gf:,,RN Sprint 1,,,,,,,,To Do
Account  number is accepting special characters and alphabets,RN-199,10255,Bug,To Do,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,07/Sep/21 6:18 AM,08/Sep/21 1:24 PM,09/Sep/21 5:08 AM,,,0,"Account  number is accepting special characters and alphabets

Steps to Reproduce:

# Go to application
# Go to add user
# Go to payment tab
# Verify the bank transfer option and corresponding field.

Expected Result:

Account number should be accepting only numeric characters.

1234567

Actual Result:

Account number field is accepting special characters and alphabets.

ASDF\!@#



!image-20210907-062300.png|width=515,height=564!",,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,RN-148,RN-109,,RN-148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/Sep/21 6:23 AM;ug:1426f709-0eb6-4ef6-9193-80072034154a;image-20210907-062300.png;https://corporateola1516.atlassian.net/secure/attachment/10006/image-20210907-062300.png,,,,,,{},,RN-1,,,,,0|i001g7:,,RN Sprint 1,,,,,,,,To Do
Last Name is accepting Special Characters,RN-198,10254,Bug,To Do,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,High,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 5:53 PM,08/Sep/21 1:24 PM,09/Sep/21 5:08 AM,,,0,"Last Name is accepting special characters.
Steps to produce
1. Go to affiliate page
2. Click Add option
3. Verify the name field option

Expected Result:

Last name field should accept only alphabets.

Ghosal

Actual Result:

Last name field is  accepting special characters and numbers.

AVHG%^&%123

!image-20210906-175352.png|width=785,height=75!",,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,RN-34,RN-21,,RN-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/Sep/21 5:54 PM;ug:1426f709-0eb6-4ef6-9193-80072034154a;image-20210906-175352.png;https://corporateola1516.atlassian.net/secure/attachment/10005/image-20210906-175352.png,,,,,,{},,RN-1,,,,,0|i001fz:,,RN Sprint 1,,,,,,,,To Do
First Name is accepting special characters.,RN-197,10253,Bug,To Do,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,High,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 5:48 PM,08/Sep/21 6:00 PM,09/Sep/21 4:57 AM,,,0,"h4. Name is accepting special characters.

h4. Steps to produce

# Go to affiliate page
# Click Add option
# Verify the name field option

Expected Result:

First name field should accept only alphabetic characters.

Ananya

Actual Result:

First name field is accepting special characters and numbers.

AVHG%^&%123



!image-20210906-175101.png|width=773,height=76!",,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,RN-21,,,RN-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/Sep/21 5:51 PM;ug:1426f709-0eb6-4ef6-9193-80072034154a;image-20210906-175101.png;https://corporateola1516.atlassian.net/secure/attachment/10003/image-20210906-175101.png,,,,,,{},,RN-1,,,,,0|i001fr:,,RN Sprint 1,,,,,,,,To Do
PostCode should be mandatory,RN-196,10252,Bug,To Do,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,High,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 4:04 PM,08/Sep/21 1:24 PM,08/Sep/21 1:08 PM,,,0,"Postcode field should be mandatory


1. Go to Affiliate Page
2. Click on add button
3. Go to the address section
4. Verify the postcode field.

Expected Result:
Post Code field should be mandatory, minimum length must be 5 and max is 6 and should accept numeric data.

Actual Result:
Post code is not mandatory. Its accepting alphanumeric character and the length is not within desired length.",,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,RN-21,RN-207,,RN-100,RN-207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/Sep/21 4:04 PM;ug:1426f709-0eb6-4ef6-9193-80072034154a;qerf.JPG;https://corporateola1516.atlassian.net/secure/attachment/10002/qerf.JPG,,,,,,{},,RN-1,,,,,0|i001fj:,,RN Sprint 1,,,,,,,,To Do
Verify that Affiliate Name label in the table header is showing properly,RN-195,10251,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 2:49 PM,07/Sep/21 5:38 PM,09/Sep/21 5:08 AM,07/Sep/21 5:38 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001ee:zi,,RN Sprint 1,,,,,,,,Done
"As an admin, I want to see the filtered result in the result table.",RN-194,10250,Story,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 2:43 PM,07/Sep/21 5:38 PM,09/Sep/21 5:08 AM,07/Sep/21 5:38 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RN-1,,,,,0|i001fa:r,,RN Sprint 1,,,,,,,,Done
Verify that multiple checkbox is able select  or not,RN-193,10249,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 11:50 AM,07/Sep/21 5:37 PM,09/Sep/21 5:08 AM,07/Sep/21 5:37 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001fa:i,,RN Sprint 1,,,,,,,,Done
Verify that the checkbox is clickable or  not,RN-192,10248,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 11:46 AM,07/Sep/21 5:37 PM,09/Sep/21 5:08 AM,07/Sep/21 5:37 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001fa:,,RN Sprint 1,,,,,,,,Done
"As an admin, I want to select an user using checkbox from the result area",RN-191,10247,Story,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 11:37 AM,07/Sep/21 5:38 PM,09/Sep/21 5:08 AM,07/Sep/21 5:38 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,RN-192,RN-193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RN-1,,,,,0|i001f9:,,RN Sprint 1,,,,,,,,Done
Verify that after deleting user a proper message is coming.,RN-190,10246,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 11:32 AM,07/Sep/21 5:36 PM,09/Sep/21 5:08 AM,07/Sep/21 5:36 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001ee:z,,RN Sprint 1,,,,,,,,Done
Verify that a confirmation message is coming after clicking the delete button,RN-189,10245,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 11:30 AM,07/Sep/21 5:36 PM,09/Sep/21 5:08 AM,07/Sep/21 5:36 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001ee:y,,RN Sprint 1,,,,,,,,Done
Verify that the deleted user is not present in the user list,RN-188,10244,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 11:27 AM,07/Sep/21 5:36 PM,09/Sep/21 5:08 AM,07/Sep/21 5:36 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001ee:x,,RN Sprint 1,,,,,,,,Done
Verify that the delete button is deleting the selected records,RN-187,10243,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 11:26 AM,07/Sep/21 5:36 PM,09/Sep/21 5:08 AM,07/Sep/21 5:36 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001ee:v,,RN Sprint 1,,,,,,,,Done
Verify that the delete button is clickable or not,RN-186,10242,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 11:24 AM,07/Sep/21 5:36 PM,09/Sep/21 5:08 AM,07/Sep/21 5:36 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001ee:r,,RN Sprint 1,,,,,,,,Done
"As an admin, I want to delete an existing user from the user list",RN-185,10241,Story,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 11:23 AM,07/Sep/21 5:37 PM,09/Sep/21 5:08 AM,07/Sep/21 5:37 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-186,RN-187,RN-188,RN-189,RN-190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RN-1,,,,,0|i001f7:,,RN Sprint 1,,,,,,,,Done
Verify the email field with .(dot) symbol,RN-184,10240,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 11:08 AM,07/Sep/21 5:35 PM,09/Sep/21 5:08 AM,07/Sep/21 5:35 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001ee:i,,RN Sprint 1,,,,,,,,Done
Verify the email field with alphanumeric data,RN-183,10239,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 11:04 AM,07/Sep/21 5:35 PM,09/Sep/21 5:08 AM,07/Sep/21 5:35 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001ee:,,RN Sprint 1,,,,,,,,Done
Verify that date field is able to accept text.,RN-182,10238,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 10:56 AM,07/Sep/21 5:33 PM,09/Sep/21 5:08 AM,07/Sep/21 5:33 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001ed:,,RN Sprint 1,,,,,,,,Done
Verify that Affiliate  name field with spaces,RN-181,10237,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 10:42 AM,07/Sep/21 5:26 PM,09/Sep/21 5:08 AM,07/Sep/21 5:26 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001eb:,,RN Sprint 1,,,,,,,,Done
"As an admin, I want to search an user by Approved using filter functionality",RN-180,10236,Story,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 10:01 AM,07/Sep/21 5:38 PM,09/Sep/21 5:08 AM,07/Sep/21 5:38 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-15,RN-16,RN-17,RN-18,RN-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RN-1,,,,,0|i001fb:,,RN Sprint 1,,,,,,,,Done
"As an admin, I want to search an user by Email using filter functionality",RN-179,10235,Story,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 9:57 AM,07/Sep/21 5:36 PM,09/Sep/21 5:08 AM,07/Sep/21 5:36 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-12,RN-13,RN-18,RN-19,RN-20,RN-183,RN-184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RN-1,,,,,0|i001f3:,,RN Sprint 1,,,,,,,,Done
"As an admin, I want to search an user by date using filter functionality",RN-178,10234,Story,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 9:52 AM,07/Sep/21 5:35 PM,09/Sep/21 5:08 AM,07/Sep/21 5:35 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-9,RN-10,RN-11,RN-18,RN-19,RN-182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RN-1,,,,,0|i001ev:,,RN Sprint 1,,,,,,,,Done
"As an admin, I want to search an user by its status using filter functionality",RN-177,10233,Story,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 9:49 AM,07/Sep/21 5:27 PM,09/Sep/21 5:08 AM,07/Sep/21 5:27 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-6,RN-7,RN-8,RN-18,RN-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RN-1,,,,,0|i001en:,,RN Sprint 1,,,,,,,,Done
"As an admin, I want to search an user by its name using the filter functionality",RN-176,10232,Story,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 9:43 AM,07/Sep/21 5:27 PM,09/Sep/21 5:08 AM,07/Sep/21 5:27 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-3,RN-5,RN-18,RN-19,RN-181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RN-1,,,,,0|i001ef:,,RN Sprint 1,,,,,,,,Done
Verify that the State/Region field is editable or not,RN-175,10231,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 9:33 AM,07/Sep/21 5:25 PM,09/Sep/21 5:08 AM,07/Sep/21 5:25 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001e7:,,RN Sprint 1,,,,,,,,Done
Verify that the Country field is editable or not,RN-174,10230,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 9:32 AM,07/Sep/21 5:25 PM,09/Sep/21 5:08 AM,07/Sep/21 5:25 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001dz:,,RN Sprint 1,,,,,,,,Done
Verify that the Postcode field is editable or not,RN-173,10229,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 9:31 AM,07/Sep/21 5:25 PM,09/Sep/21 5:08 AM,07/Sep/21 5:25 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001dr:,,RN Sprint 1,,,,,,,,Done
